cv;label
"Specialties:
• Data analysis and statistical modeling for human sciences.
• Psychometrics and applied statistics in psychology.
• Quantitative psychology and cognitive neurosciences.
• Experimental research and epidemiology for health sciences.
• Software programming for collecting/analyzing data.
• R user and trainer. ";1
"On LinkedIn, he is the data science evangelist and community manager but everyone knows that his photography skills totally overshadow his data science knowledge these days. On Twitter, he sounds like a die-hard MATLAB fanboy with the handle @matlabulous (because MATLAB was his favourite tool at Uni). Since joining H2O.ai in 2016, Joe has delivered H2O talks/workshops in 40+ cities around Europe and US. 

Before joining H2O, he was in the business intelligence team at Virgin Media where he developed data products to enable quick and smart business decisions. He also worked remotely for Domino Data Lab as a data science evangelist promoting products via blogging and giving talks at external events. 

Joe has a background in water engineering. Before his data science journey, he was an EngD researcher at STREAM Industrial Doctorate Centre working on machine learning techniques for drainage design optimization. Prior to that, he was an asset management consultant specialized in data mining and constrained optimization for the utilities sector in UK and abroad. He also holds a MSc in Environmental Management and a BEng in Civil Engineering.

Long before Joe immersed himself in the world of open-source R and Python, he learned his trade as an avid MATLAB user. When he was a kid, his parents taught him one of the famous old Chinese sayings - when one drinks water, one must not forget where it comes from. So when Twitter asked Joe to be creative, he simply put down @matlabulous as his handle.

In the summer of 2014, his data visualization side project 'CrimeMap' led him to a poster presentation at useR! 2014 where he heard about H2O for the very first time. He has been using H2O for various data science projects ever since. ";1
Jess Whitsen is a model, actress, and CEO of one of the world's leading modeling agencies. She is best known for her Playboy appearances where she co-starred in films alongside several well-known playmates, including Pamela Anderson (in her 2016 re-feature) and the then rising star, Lindsey Pelas. She is also known for several appearances as a model on the High Tech Corvette YouTube mini-series. ;0
Expert on Distributed Artificial Intelligence and Behavioural Modelling while applying social network analysis, big data tools and geospatial mining. ;1
Pain Relief Specialist / Animal Massage Practioner ;0
PhD in Mathematics, Data Scientist;1
"I am a digitally focused marketer with strong multi-channel experience both client and agency-side, across a broad spectrum of industries including: architecture and design, beauty, healthcare, fashion, FMCG, luxury brands and retail.

Clients include a good mix of B2B and B2C; Appletiser, Arup, at800, Blacks Outdoor Group, Craghoppers, Debenhams, easyCarClub, EMC, Gemalto, Hill’s Pet Nutrition, HCA, IntuitUK, JUST-EAT, LinkedIn, matchUK, Millets, MoneySuperMarket, Natural Enhancement, Nominet, Tesco, TravelSuperMarket and VMware.";0
"I'm a data scientist and machine learning specialist.
My CV is constantly updated on all the issues concerning Data Science and Machine Learning.
I received the Computer Engineering degree from the University of Catania in 2009 with a thesis on Modeling and Control of Environmental Systems, and in 2011, I have obtained an executive master's degree in Energy Finance on: Finance of the Commodity Markets, ,Quantitative Methods for Finance,Energy Markets ,Models for the Energy Finance,Industrial Portfolio Management,Risk Management ,Trading and Allocation of Commodity.
Project work in: ""Gas market, and Weather Risk Management"".
Project work coordinator: Dott. Alessandro Mauro- Head of risk management at Litasco
Specializzazioni: Excellent knowledge of Windows, Mac-OsX and Office (Excel,Word,Access,PPT), . Knowledge of the development environment : Python, MATLAB, R, C. HTML.
Excellent knowledge of Machine Learning, Regression, Deep Learning, Big Data, Modeling, Predictive, Neural Networks. ";1
"I am a freelance EFL/ESL teacher. I also teach Italian to foreign learners. I had some experiences teaching general English to teenagers and adults.
I achieved a TEFL certification and the Award in Education and Training in the United Kingdom.

Although I am not a native English speaker, as I have already been through the same experience that my students are facing in learning a language, I consider myself a good resource within a school environment. Students are often less afraid of making mistakes in this situation. I can also provide the students with a real incentive to succeed, creating a positive learning environment where they are free to learn, to make mistakes without fear to be judged.";0
Data Scientist | Machine Learning Engineer ;1
Experienced machine learning engineer and data scientist with domain expertise in fraud detection and search. Deep knowledge of physics and time-series analysis. Great team player and team builder. ;1
High Schools English Language and Literature Teacher ;0
"I attended the first Master's degree in Italy entirely in Data Science and I was selected for the very first batch of the school of Artificial Intelligence in Italy.
I worked as Data Scientist in several different environments like universities, big companies, agencies and startups often oriented in AI projects that is my current main area of interest.";1
"10+ years in R&D both in Academia and Industry with Ph.D. in Artificial Intelligence. Chief Data Scientist at Yewno developing novel ways of extracting and exploring knowledge from vast repositories of unstructured data. 

Expertise in Machine Learning, Computational Semantics, Cognitive Computing and Big Data, with emphasis on Bayesian learning, hierarchical/latent models, approximate inference and nonparametric models. Also interested in connections of AI to neuroscience (e.g. neural learning patterns), cognitive science (e.g. biologically-inspired intelligent architectures) and complex systems in general (e.g. multiplexed network in studying financial and social phenomena).

Author or co-author of 60+ papers in international journals and peer-reviewed conference proceedings, holder of one pending-patent, and reviewer for renowned international venues in the fields of artificial intelligence and robotics. I served as local scientific responsible for the 2M€ EU-funded project ""HUMANOBS: Humanoids that Learn Socio-Communicative Skills by Observation"" until mid 2012. 

Experienced in Python/R/Matlab (for prototyping), AWS & Apache Spark/Hadoop/Mahout ecosystems (for big data solutions), and Java/C (for deployment). Full working proficiency in three languages: English, Italian & Bosnian. ";1
Designed and implementated lesson plans for kids and adults at different learning levels. Utilized a variety of lesson methods including cooperative learning, projects, discussion, games and discovery. Participated in school events such as PTO, Open House, faculty meetings, team leader meetings ;0
"Booking.com is the planet’s #1 accommodation site. Our diverse team, 13,000 strong, is united by a single mission: to help travelers, whatever their budgets, easily discover, book, and enjoy the world’s best places to stay.
As a Data Scientist at Booking.com I am working on challenging projects, having a direct impact on the travel experience of millions of Booking.com users every day. 
Want to be part of a company that is truly data-driven and be able to crunch big data? 
Then join our Data Scientist team! We are hiring!";1
"Sr. Data Scientist | PhD | ?? Passionate about ??#datascience #predictiveanalytics #advancedanalytics #machinelearning #XAI #AI #deeplearning | #coding #python #spark #R ??| #lean #leananalytics #growthhacking #designthinking #agile #scrum #devops | #BassPlayer ??| while (??>0) {??++;} ";1
Business English language Teacher at Nidec Asi ;0
Senior Data Science Consultant @ Analytics Network ;1
"I was born in Florence where I teach English language and literature. I am a member of the editorial board of «Semicerchio», a journal of comparative poetry, and of «Interno Poesia», online journal of migrant writing.
My most relevant interests are literary translation, poetry and postcolonial studies. My translations, reviews and articles have been published on several journals such as «Testo a Fronte», «Semicerchio», «Le Voci della Luna», «Sagarana», «Ulisse», «Pagine», «trame», «Intralinea», «El-Ghibli», «451», etc. and for publishers like «Le Lettere». 
I helped organize some poetry festivals, among which “Indiapoesia” (Rome 2000), “DiVersi Racconti” (Vietri sul Mare 2002 and 2003), “Voci Lontane, Voci Sorelle” (Firenze 2003-2004-2005).";0
Key account coordinator / Multi-langue teacher / Guest relationship manager / Food entertainer ;0
Data Analyst - Junior Data Scientist;1
"Being passionate about learning-teaching, I have been teaching YL (young learners), teenagers and adults, both for Cambridge exams and CLIL, as well as working for OIEG (Oxford International, Ltd) at their summer camps in England, for several years now. 

Moreover, I also have a wide range of experience and in-depth knowledge of ESP applied to business and professions. And, on the creative side, I have written and delivered my own courses and manuals in both classroom and blended online environments.";0
Globally-minded person, highly skilled and talented professional. I have been also described as trustworthy, ethical and poise in interactions with people at all levels. PhD in Experimental and Cognitive Psychology. Over 3 years of experience as Data Scientist in the sector of Information Technology and Applied Machine Learning. I'm interested in applying my skills to meaningful projects involving the interaction between people and informations systems. ;1
My desire is to find challenging and professional environments in which I can utilize my experiences to improve beyond my current abilities. I expect to build a strong business relationship within the company and clients and to exceed expectations in all aspects of my work. ;0
"Three years of experience in the data science field. Highly skilled in forecasting and image processing. Currently Senior Data Scientist, leading groups of 3/5 persons in exploring raw data while working closely with the data owner, building machine learning models, and cooperating with big data engineers to get algorithms in production. Required to develop data products like predictive models fed by both measure and image data, and draw customised visualisations to provide useful metrics on results.

Actively involved in internal activities focused on deep learning techniques. Promoter of the R&D group dedicated to grow the code base and to design assets, namely pieces of finalised soware solving subtasks that could be faced during projects. ";1
I'm a journalist and literature teacher. I gratuated from the University of Rome La Sapienza with a master's degree in classical archaeology. I spent three summers working at the most important excavation sites: Pompeii, Palatine Hill and Ancient Ostia. After my studies I moved to Barcelona and joined the editorial department of Clio Revista de Historia. Back in Italy, I gathered new work experience as a web editor for the international website of National Geographic Adventure. I also started writing about history and archaeology for Storica National Geographic and National Geographic. At the same time I continued working as an archaeologist in the Museum of Imperial Fora. I am based in Rome where I teach Italian, History and Geography in a middle school. I'm collaborating as a freelance journalist with the daily newspaper Il Manifesto and with several magazines of different countries: National Geographic (Italy, Germany, Spain, Portugal), Geo Magazine (Spain, Finland), Focus (Italy), Archaeology (U.S.A.). ;0
English Teacher at International House Pescara ;0
Specialties: communications, advertising, websites, tourism, hospitality, social sciences, education, business ;0
"8 years full stack applied ML research and data science experience within the domains of Personalization, Marketing, Predictive Maintanance, Recommendation, Customer metrics prediction, Fraud detection, NLP, Computer Vision and RTB.
4 years experience in management and leadership within Data Science and AI Research.
5 years exposure on project management and software development.
Deep understanding of the majors and advanced Machine Learning tecquiniques and full hands-on on end-to-end DS projects using cutting edge technologies and Big Data.
Full theoretical understanding of the common learning systems and statistical approaches and proven track record of publications in top tier ML conferences and journals. 
PhD in Mathematics and Statistics.";1
Data Scientist in Deep Learning at Advanced Global Solution AGS S.p.A. ;1
Team Lead at OSRAM Continental ;0
I am a Big Data Analyst and a python developer with strong experience in Spark and SQL. I have good skills in analysis of either structured data and unstructured data. My recent projects is focused on Machine Learning, Text Mining, and Collaborative Filtering algorithms. ;1
Religion Teacher at secondary school ;0
Senior Data Scientist @ Pirelli • Founder & Data Scientist @ HeartInData ;1
Give me some data and I'll give you something interesting ;1
Data Science professional with Machine learning experience in Business to Business and Business to Consumer Analytics across verticals and geographies. Proficient in Python, R and SAS. Passionate about business problem solving. ;1
Performer in Theatre, TV and Cinema around the world. Teacher of theater disciplines. Religion Teacher, Educator. ;0
Professor of Fundamental Moral Theology at the Pontifical University Regina Apostolorum, in Rome, of the Legionaries of Christ Specialties: Human action, virtues, natural law, contraception. ;0
Data scientist with a background in physics research, statistical analysis, and numerical simulations. ;1
Teacher of Philosophy ;0
I’m curious, sociable, dynamic, collaborative, optimistic... highly motivated and adaptable individual with experience in market research and data analysis. Coming from an economic and analytic background, I possess the quantitative method and problem-solving skills necessary to perform effectively and successfully work in various teams. ;1
Very dinamic person, with a great passion and professionality in languages and tourism fields. Specialties: Tour Leader ;0
"Business focused on analytics Big data, data mining, predictive modelling 
and technologies to drive business change and creating operational efficiency. 
Expert in applied methodology in complex environments 
like geomarketing and marketing, SVR data and vehicle theft detection and prevention.
Operations Manager with a demonstrated history of working in the information technology and services industry. 

Degree in theoretical physics at Università degli Studi di Torino with a thesis on stars formation. 
My best teacher ever was Tullio Regge to whom I owe a lot. ";1
"Work experience:
2015 - present Associate Professor in Law and Religion. Law Department, University of Perugia (IT).
2014 - present Professor of International Law and Religion. Lateran University, Vatican City, Rome 
2005 - 2015 Lecturer in Law and Religion. Law Department, University of Perugia (IT).

Teaching in Relationship between Church and State (2016-2017). Teaching in International Law and Religion (Rome, 2014 – 2016). Seminars in Law and Religion (2011 – 2015). Teaching in Comparative Law and Religion (2009 – 2011). Teaching in Ecclesiastical Law and Canon Law (2008 – 2011). Teaching in International Legal Protection of Religious Freedom (2007 – 2008).
2002 – 2003 Researcher in Law and Religion. Department of Public Law, University of Siena.";0
Associate Professor of Ethics, Pontifical University of the Holy Cross ;0
"Theoretical physicist, data scientist and algorithm developer whose set of interests has almost empty intersection. 

National (Italy) Academic Qualification as Associate Professor. Academic background as a researcher in theoretical physics (supersymmetry, dark matter, string theory, statistical physics and econophysics, computational physics, data analysis).

Machine learning algorithm developer in Python, Mathematica and Scala.
Applied statistical analysis of small, medium and big data. ";1
Associate Professor in History of Religions ;0
"Data scientist, business analyst, and former theoretical astrophysicist. Currently working in the Insurance sector. My skills and expertise include:

? Statistical and machine learning: classification/regression trees for predictive modeling; deep learning and convolutional neural networks for pattern detection and image classification; network graphs and graph databases; image analysis and Optical Character Recognition

? Business and functional analysis: collection and formalization of business requirements from stakeholders; preparation of functional documentation for the implementation of ICT solutions and system integrations; use case testing procedures

? Data mining: statistical analysis of, and inference of insights from, large structured datasets (relational databases and network graphs); mathematical modeling of complex problems for the purpose of interpolation, extrapolation, and prediction

? Natural Language Processing: vector representation (embedding) of words and documents, Latent Semantic Analysis; clustering and topic classification algorithms; statistical analysis of unstructured data; social media data mining

? Project management in international and highly complex environments; effective visualization and presentation of analytic results to diverse and international audiences; interface with stakeholders and delivery focus

? Software development with several programming languages, including C++, Python, and R; knowledge of database query languages, including SQL and Cypher; advanced proficiency in Excel (e.g., macros) and other Microsoft Office software; experience with ReST APIs and NoSQL databases (MongoDB); basic knowledge of SAS and MicroStrategy

? Team working within multi-disciplinary Agile collaborations; process management with JIRA; flexibility and openness at learning new skills quickly and independently; analytic and creative thinking; extensive knowledge of statistics, mathematics, and physics";1
Enthusiastic about using data to solve complex problems. Graduated in Mathematics, currently senior data scientist at INVITALIA (the National Agency for inward investment and economic development, owned by the Italian Ministry of Economy). Focused on design and implementation of BI, ML and Advanced Data Analytics solutions. Freelance consultant. Experienced in supervised and unsupervised machine learning, statistics and automated analysis of big data sets. Excellent programming skills for prototyping and production using R language.;1
Ph.D. in German Contemporary Literature and Comparative Literature Teacher of Italian Language L2/FL English and German Teacher Editor/Proofreader ;0
At Allianz Technology S.p.A. I carry out the end to end the big data analytics and machine learning tasks: 10% of time importing and organizing data in the Hadoop framework using Hive or Impala, 20% data exploration and prototyping using Python and Scala in Zeppelin, 30% developing and deploying Machine Learning models in Python, 20% creating dashboards and reports using Microstrategy, 20% communicating with the management team in order to translate data analysis results into business insight. ;1
"Antonio Russo is Full Professor, Department of Humanities, at the University of Trieste. 

He holds advanced degrees in both theology and philosophy, and has been awarded numerous research grants at leading universities in Italy and Germany. Since 1989, he has been a member of the scientific board of the Foundation Ugo Spirito, and has organized several international academic conferences. ";0
PROFESSOR at DEPARTMENT OF PHILOSOPHY AND RELIGION, BANARAS HINDU UNIVERSITY ;0
"I am a senior data scientist at Pirelli, where I have been developing machine learning and predictive analytics solutions for demand forecasting, Smart Factories and connected-vehicle applications.
I have been working closely with all the major business units such as BI, R&D and industrial engineering to develop tailored machine-learning algorithms and production systems.
I have a PhD from the University of Milan Bicocca and prior to joining Pirelli I was a staff data scientist at the National Institute of Molecular Genetics where I developed models for the analysis of genomic data, as well as a Fulbright student at the Santa Clara University (CA). ";1
Professor of Theology, Institute of Salesian Studies, at the Dominican School of Philosophy & Theology, Berkeley;0
I am a data scientist with a PhD in Physics. I have experience in data visualization, use of statistical techniques to solve complex problems, and machine learning algorithms. I have good communication skills, I am open minded and I love to work in stimulating environments. ;1
Data analysis - Big data analysis - Policy analysis - Electoral Behavior - Transportation and emissions - Climate Change ;1
Professor of Philosophy of religion at the University of Milan;0
Data Scientist. PhD in Theoretical Physics. High level professional in data analysis and problem solving. Strong expertise in building partner relationships. Ambition to grow and improve in new, challenging professional environments. ;1
Religion teacher at Primary School;0
"Religion and Law, Church Polity and Church History at Vrije Universiteit Amsterdam/Theologische Universiteit Kampen/Rijksuniversiteit Groningen. Consultant and (associate)mediator. I studied Management, Economics and Law at the University of Applied Sciences (HEAO Vlissingen) and Theology at the VU University in Amsterdam, The Netherlands. 
In 2001 I initiated the Centre for Religion and Law at the VU University. I am Chair of this Centre and Director of the Deddens Kerkrecht Centrum at the Theologische Universiteit Kampen.
Also, I am Assistant Professor. I published and edited until now seven books and several articles. 
Also, I just love (doing) sports: running, biking, swimming, skating, triathlon and wintertriathlon.";0
Professor of Semiotics, University of Turin ;0
"I have completed a Double Master’s Degree program in Data Science at the European Institute of Innovation & Technology (EIT). Working on several projects, I achieved good communication and team-working skills. Always open to things that change usual mindsets and open up to new possibilities. Currently, I’m working at Edison as Data Scientist. I design and manage the predictive models adopted
by the company for solar and wind power forecasting of the day-ahead Italian energy market.";1
Assistant Manager, Senior Data Scientist at KPMG Advisory ;1
A skilled and caring teacher who strives to make the education experience a memorable one;0
"With a background in theoretical physics and financial mathematics, I have developed an interest in machine learning and data science projects. In the last years I have done research on time series analysis, multidimensional global optimization, dynamics on networks, CUDA technologies, symbolic computation. My articles were published on Physical Review E, Communications in Nonlinear Science and Numerical Simulation, Quantitative Finance, Journal of Statistical Mechanics: Theory and Experiment, Entropy.

I have an in depth knowledge of the statistical language R, Mathematica, Matlab. And a working knowledge of Python and C language. 

Recently I have published a book named ""Nonlinearity in high-frequency finance and optimal execution"" with Lap Lambert Academic Publishing.

Looking at the moment for new opportunities in the field of Data Science and Machine Learning. ";1
Fr. Michael Baggot was received into the Catholic Church on the Easter Vigil of 2003, after a high school conversation from agnosticism. He then graduated summa cum laude from Christendom College with a B.A. in Philosophy, before working in Rome as a Resident Director for the school's study abroad program. In 2013, he received a Licentiate in Philosophy summa cum laude from the Pontifical Athenaeum Regina Apostolorum in Rome. In 2017, he received a Baccalaureate in Sacred Theology summa cum laude from the same institution. Prior to entering the seminary, Baggot reported on prominent bioethical issues as a writer for the Toronto-based LifeSiteNews organization. He spent his initial period of seminary formation near Cologne, Germany. He later worked as an assistant for the Curso de Hispanidad in Mexico City and as a teacher at Pinecrest Academy in Atlanta, Georgia, before returning to Rome for further studies. ;0
"I am a strategist and data scientist with over 23 years of experience in customer service, management and was an academic researcher in Business Administrationfor 7 years. As a Lieutenant of the Air Force I learnt negotiation techniques, leadership, team work and strategic focus. Used to join meetings with high level decision makers.

I work with Supervised and Unsupervised Machine Learning, Deep Learning and Natural Language Processing in the areas of telecom, finance, customer service and agriculture. Experienced in SPSS, Wolfram Mathematica, R , Python, Spark ML and SQL Server.

I have Master's and Doctorate degree in Business Administration with focus in Artificial Intelligence - Wolfram Research at Brown University (USA). I own a patent of a computer program at INPI in Mathematica regarding cellular automata modeling.

Hands-on experience in Amazon AWS and Google Cloud Platform for static and data streams, using REST APIs, EC2, RDS (SQL Server), EMR (Hadoop and Spark Cluster), API Gateway, DynamoDB, S3, Data Pipeline, Redshift, Lambda, Kinesis, Firehose, ElasticSearch, SageMaker, ECS (containers), CloudWatch, Kibana, Quick Sight, Rekognition, Transcribe, Comprehend, Forecast + Google Cloud Functions (Serverless), Big Query, Cloud SQL, Data Studio, Speech API, Google Vision, Compute Engine, TPU computing) and Docker at Linux environment. Experienced in developing IoT gateways using Raspberry Pi running Ubuntu Core/Raspbian in Python.

I created Pull Requests in two Microsoft's GitHub repos: to fix an incompatibility issue between Python 2 and 3 in pycocotools library (COCO Segmentation Model) and to properly read a file in PySpark (Predictive Maintenance repo).

I am a StackOverflow contributor in Python, Keras, OpenCV, Tensorflow, AWS, Google Cloud, and Ubuntu Core. Reputation 1720, 35 Badges. Also KDNuggets contributor.";1
Professor KANU, Ikechukwu Anthony, O.S.A., is a scholar in the areas of African Traditional Religion, Philosophy and Cultural Studies. He lectures in the Department of Philosophy and Religious Studies, Tansian University, Umunya, Anambra State, and a visiting Professor at the Augustinian Institute of Philosophy, Makurdi. He has served in various capacities in International Bio-Research Institute, Enugu, Veritas University of Nigeria Abuja and St Augustine’s Major Seminary, Jos. Prof. Kanu is the President of the Association for the Promotion of African Studies (APAS). ;0
"I’m a data lover. Stats is my passion and I rely on it to take my own decisions.

Very precise and proactive person with a strong intellectual curiosity and ability to draw the key information hidden in large amounts of data exploiting my statistical-mathematical knowledge in exploring, modeling and visualizing data.

I believe that there is a strong opportunity for all organizations to get more information from data and to apply that knowledge to their decisions and management.

I like to cooperate in productive and collaborative working environments, using my excellent communication skills.

Currently, I am working at WindTre as Data Scientist - Big Data & Analytics - with a particular focus on Social Media using software such as: 
- SQL 
- Python 
- R 
- Power BI
- Excel";1
I am an experienced teacher and university lecturer with a Ph.D. in Philosophy and Theology. ;0
"After completing my Bachelor's Degree I enrolled in the Master course of Civil Engineering and independently started my studies about DIGITAL IMAGING, SENSORISTICS and IMAGE CALIBRATION techniques. With the REMOTE SENSING course I explored environmental topics, environmental modeling, MACHINE LEARNING, COMPUTER VISION and MICROCONTROLLERS.

The academic course was concluded with the Master Thesis focused on the complete CALIBRATION and AUTOMATION (R, Python and Arduino) of a HYPERSPECTRAL IMAGING SYSTEM for DRONES (UAV) purchased by the University of Palermo.

Currently I swim as incurable curious in the ocean of IoT, DATA ANALYTICS and BIG DATA working on cutting edge projects for big companies in the ELIS Innovation Hub. During the few moments of apparent calm I carry on my INDUSTRIAL PHD at the ""Università Campus Bio-Medico"" in Rome by going deep into the topics I deal with during my work at ELIS (Machine Learning, Time Series modeling, Predictive Analysis).

? TOOLS ? Python, R, SQL, Matlab, Octave, Java, SAS, ForTran, HTML, JS, CSS, Git, JSON, XML
? LIBRARIES ? Pandas, NumPy, SciPy, Scikit-Learn, Keras, Pillow, Word2Vec, Seaborn, Matplotlib, BeautifulSoup, Earth, iGraph, randomForest, XGBoost, Flask, Swagger, Tkinter, Bootstrap
? SOFTWARE/PLATFORMS ? SAS Enterprise Miner, Azure Databricks, PyCharm/Jupyter/Spyder, R Studio, Microsoft PowerBI
? TOPICS ? Git/Agile, Data Cleaning, Machine Learning, Time Series Analysis, Clustering & Classification, Neural Networks, Computer Vision, Map Reduce modelling, Web Scraping, IoT, Web API, Networking, Cloud Computing
? IMAGING & REMOTE SENSING ? PixInsight, MaximDL, ImageJ, Adobe Suite, Erdas Imagine, ENVI, QGis";1
Professor, GW Law School + CEO, TeachPrivacy + Organizer, Privacy+Security Forum ;0
Software engineer and Data Scientist ;1
Religion Teacher at Roncalli Catholic High School and Theology Instructor at Creighton University ;0
"I love to gain value from data. I'm good at quickly identify an organisation's strategic needs and translate them into feasible analytical steps. I love to communicate my findings and to motivate people to give their best.

Key skills: Robust knowledge of data science, quantitative analysis and econometrics. Strong working knowledge of R, Python and SQL. I can convey complex information to a technical and non-technical audience.

Key traits: As a natural team player I quickly develop a team's identity and shared goals. I bring enthusiasm in everything I do. I love to join dots.

Key experiences: Ideated and led programmes of work in health economics for Cancer Research UK, UK's leading cancer charity. Led quantitative analysis and data policy for Healthwatch, the English consumer champion for health and care. Developed economics research and taught at City University London. Performed advanced data analysis at Deutsche Bundesbank. I'm currently completing my PhD in health economics at City University London.

Industries: Credit market, healthcare, public sector and academia.

Goals: Face new challenges and complex problems. Always bring improvement. Bring value to society via quantitative analysis. ";1
Senior Vice President, General Counsel and Corporate Secretary at William H. Sadlier, Inc. ;0
"Parvaneh is a senior data scientist in Advisory Services in EY with more than 4 years of experience in applying advanced analytics & machine learning for business problems & identifying the best solutions.
Parvaneh has worked on many sectors such as insurance, health, technology, security, publishing, retail & .customers. She has a background as a software & web developer too. ";1
Vice President of the Religion and Conservation Biology Working Group at Society of Conservation Biology ;0
Experienced Professor with a demonstrated history of working in the higher education industry. Strong education professional skilled in E-Learning, Lecturing, Critical Thinking, Editing, and Public Speaking. Loves to cycle! Follow me on Twitter;0
Data Scientist | Data Analyst ;1
"? Programming: C and C++, Java, JavaScript, PHP, HTML, CSS, Python2 and 3, R, Prolog, SQL, UML, XML, Solidity, Bash.

? Applications: Eclipse, Wireshark, Notepad++, Atom, PHPstorm, Jupyter notebook, MySql, Microsoft Visual Studio, NetBeans, PyCharm, Atom, Android Studio, R-Studio, IntelliJ.

? Frameworks: Spring (basis), Struts2, jquery, Bootstrap, Truffle, Tomcat, HIVE, Spark, Hadoop. ";1
"I was raised in the farmlands of Missouri until age fourteen when my family moved to Louisiana.
In 1991, at age 21, I married a beautiful woman of God and we raised four children together.
Many offer degrees and accomplishments to justify their authority as an author; I offer this.
I spent many years as a christian buried alive. I had turned away from the false life offered by Adam but surrounded by the darkness of self effort I kicked,beat, and scratched against the walls of mans religious casket; desperately trying to reach the light. It was not until I gave up that a still small voice asked are you ready to trust me? Then I was in the light.
It is my desire to encourage and strengthen the faith of my brethren in the Lord. To the end that the frustration of trying to live for God would be replaced with the peace and joy of God living in and through us. ";0
Experienced Data Scientist skilled in the Machine Learning field thanks to the employment of advanced technologies and awareness of the Business environment. ;1
Data Scientist JR Master in Big Data Analisys and Business Intelligence ;1
Leadership development | Human capital management | Strategy and decision making;0
"Associate Professor in History of Medieval Philosophy at the Department of “Civiltà e Forme del Sapere” of the University of Pisa (where he also teaches Philosophy of Religions). He has published articles on Augustine, Abelard, Albert the Great, Thomas Aquinas, late-Medieval and Renaissance Aristotelianism; on philosophical views on animals; on natural law; on philosophy of religion; on Martin Buber. His books include Aristotle’s Zoology and its Renaissance Commentators (1521-1601) (Leuven 2000); the critical edition of Pietro Pomponazzi, Expositio super primo et secundo De partibus animalium (Florence 2004)";0
"I am an academic, journalist and writer specialised in the Middle East. 
My areas of specialisation are Pahlavi Iran, Education in Iran 1963-79, gender issues in the Muslim world, History of Yemen in the XX century. 
My areas of competence are Iran in the XX century, current political and economic issues in the Islamic Republic of Iran, introduction to Islam, Shi'i Islam, Yemen in the XX century, current political and economic issues in Yemen. 
My research interests cover travels in Iran and Yemen in the late XIX and early XX century, tribes and nomads in Iran, religious and ethnic minorities in the Middle East. ";0
"As a physicist, I have a mathematical mindset, which takes me to have a rational and analytical approach to problem solving. 
On the other hand, my love for arts, literature and music, makes me a little bit visionary and gives me that healthy dose of creativity as well, which really helps in data science.

I have been working as a data scientist since 2003, collecting a wide range of complementary skills and meeting really different use cases, businesses and problems. I think that these experiences, on the basis of my scientific background, made me the data scientist that I am today: a professional with strong skills in statistics, mathematical modeling, data analysis, machine learning and advanced information technology.

What I consider one of my key features, is that I can manage any stage of data life cycle, from data management, through data analysis and modeling, up to design and development of data products based on cloud technologies.

I have been working in different fields, but those where I have the deeper domain expertise are pharmaceutical and manufacturing, followed by marketing one.

A quick list of my main skills could be as follows: databases, data analysis, machine learning, predictive models, cloud technologies, R language, mathematical models, data mining, Six Sigma methodology ";1
"I'm a Lead Data Scientist with experience in predictive modeling, information retrieval, natural language processing and optimization.

I have proficiency in implementing data solutions to solve business problems in different industries - energy, banking, finance, telco, media - and scopes - predictive maintenance, pricing, advanced customer analytics and customer value optimization, credit scoring, recommender systems, marketing optimization, pattern mining, time series analysis and signal processing. 

Currently I support BCG clients to exploit the opportunities enabled by data science, and lead teams of Business Experts, ITs and Data Scientists toward game-changing deliveries. I’m also in charge for the development of BCG GAMMA in Italy, Greece and Turkey.

Given I’m truly passionate about business innovation and mentoring, I also support innovative startups, teach Data Science for Management at the University of Florence and collaborate with National and International Associations to promote Data Driven Business Innovation. ";1
"Special interest in artificial intelligence and deep learning applied to speech recognition, computer vision, natural language processing and video analytics.

Interest in cross-hardware compatible parallel processing (currently using OpenCL), and applications of high-performance computing to artificial intelligence, computer vision and optimization problems.

An extensive list of algorithms and software I implemented in CMSoft website are available at:

Extensive information: http://www.cmsoft.com.br/

Complete softwares - http://www.cmsoft.com.br/index.php?option=com_content&view=section&id=13&Itemid=66

Numeric packages: http://www.cmsoft.com.br/index.php?option=com_content&view=category&layout=blog&id=107&Itemid=160


Professional experience:

- Brazilian Air Force lieutenant-engineer and aircraft weapons researcher of the Institute of Aeronautics and Space - IAE, under the General-Command of Aerospace Technology: 2005 to 2008.
Main activities: Military activities, ballistic calculations and separation analysis, control and guidance of weapons and satellite launcher vehicles, inertial systems.

- Instructor of Weapons Engineering Course: 2007
Main activities: Teaching Ballistics of Aircraft Weapons and Control and Guidance of Weapons

- PETROBRAS Equipments Engineer focused on technology development for construction and assembly.
Main activities: Development of new technologies for construction of land pipelines and adaptation to construction of existing technologies not specifically designed for land pipelines construction.
Management of research projects with partners in the industry and academy in the field of Robotics and AI.
Deep learning: semantic segmentation of seismic data.

Specialties: AI and deep learning; parallel processing; OpenCL; OpenGL, HPC, R&D Projects ";1
A bright-spirited liberal arts student with a desire to proactively bring others together to form an authentic community through creative, dynamic and effective communication campaigns. ;0
